Entity,Code,Year,Life expectancy - Sex: total - Age: 0 - Type: period
Yemen,YEM,1950,28.9343
Yemen,YEM,1951,29.2844
Yemen,YEM,1952,29.6249
Yemen,YEM,1953,30.0261
Yemen,YEM,1954,30.4133
Yemen,YEM,1955,30.8097
Yemen,YEM,1956,31.2965
Yemen,YEM,1957,31.7793
Yemen,YEM,1958,32.359
Yemen,YEM,1959,32.8623
Yemen,YEM,1960,33.4615
Yemen,YEM,1961,34.0579
Yemen,YEM,1962,33.6691
Yemen,YEM,1963,33.4309
Yemen,YEM,1964,34.9073
Yemen,YEM,1965,35.5922
Yemen,YEM,1966,36.264
Yemen,YEM,1967,37.079
Yemen,YEM,1968,37.9896
Yemen,YEM,1969,39.6099
Yemen,YEM,1970,40.5729
Yemen,YEM,1971,41.7571
Yemen,YEM,1972,42.6878
Yemen,YEM,1973,43.6031
Yemen,YEM,1974,44.5409
Yemen,YEM,1975,45.4752
Yemen,YEM,1976,46.4406
Yemen,YEM,1977,47.4417
Yemen,YEM,1978,48.4837
Yemen,YEM,1979,49.5308
Yemen,YEM,1980,50.6081
Yemen,YEM,1981,51.6793
Yemen,YEM,1982,52.3674
Yemen,YEM,1983,53.6185
Yemen,YEM,1984,54.5861
Yemen,YEM,1985,55.4184
Yemen,YEM,1986,54.0021
Yemen,YEM,1987,56.8282
Yemen,YEM,1988,57.4304
Yemen,YEM,1989,58.025
Yemen,YEM,1990,58.5282
Yemen,YEM,1991,58.8053
Yemen,YEM,1992,59.2596
Yemen,YEM,1993,59.6551
Yemen,YEM,1994,59.8279
Yemen,YEM,1995,60.5324
Yemen,YEM,1996,60.8838
Yemen,YEM,1997,61.3404
Yemen,YEM,1998,61.7878
Yemen,YEM,1999,62.2754
Yemen,YEM,2000,62.761
Yemen,YEM,2001,63.2864
Yemen,YEM,2002,63.8066
Yemen,YEM,2003,64.4075
Yemen,YEM,2004,64.881
Yemen,YEM,2005,65.3561
Yemen,YEM,2006,65.7997
Yemen,YEM,2007,66.2304
Yemen,YEM,2008,66.6091
Yemen,YEM,2009,66.9053
Yemen,YEM,2010,67.223
Yemen,YEM,2011,67.4124
Yemen,YEM,2012,67.569
Yemen,YEM,2013,67.961
Yemen,YEM,2014,68.0027
Yemen,YEM,2015,66.7613
Yemen,YEM,2016,67.1054
Yemen,YEM,2017,67.1198
Yemen,YEM,2018,65.9154
Yemen,YEM,2019,66.5673
Yemen,YEM,2020,66.4354
Yemen,YEM,2021,66.0191
Yemen,YEM,2022,67.9517
Yemen,YEM,2023,69.2952