Entity,Code,Year,2.1.1 Number of undernourished people | 000000000024001 || Value | 006132 || millions
Yemen,YEM,2001,4700000
Yemen,YEM,2002,5000000
Yemen,YEM,2003,5200000
Yemen,YEM,2004,5400000
Yemen,YEM,2005,5400000
Yemen,YEM,2006,5400000
Yemen,YEM,2007,5400000
Yemen,YEM,2008,5500000
Yemen,YEM,2009,5300000
Yemen,YEM,2010,6000000
Yemen,YEM,2011,6400000
Yemen,YEM,2012,7400000
Yemen,YEM,2013,7700000
Yemen,YEM,2014,9000000
Yemen,YEM,2015,10900000
Yemen,YEM,2016,12100000
Yemen,YEM,2017,12600000
Yemen,YEM,2018,12400000
Yemen,YEM,2019,12100000
Yemen,YEM,2020,11800000
Yemen,YEM,2021,12200000
Yemen,YEM,2022,13300000