Entity,Code,Year,Gross enrolment ratio in primary education,Gross enrolment ratio in secondary education,Gross enrolment ratio in tertiary education,"Completion rate, primary education, both sexes (%), CR.1","Completion rate, lower secondary education, both sexes (%), CR.2"
Yemen,YEM,1992,,,3.99025,,
Yemen,YEM,1997,,,3.97207,,
Yemen,YEM,1999,63.51522,36.07912,9.01143,,
Yemen,YEM,2001,68.98516,39.92826,,,
Yemen,YEM,2002,71.0543,,9.18376,,
Yemen,YEM,2003,74.38633,40.8348,8.78117,,
Yemen,YEM,2004,77.44957,41.58819,8.35861,,
Yemen,YEM,2005,79.41656,40.53071,8.3372,,
Yemen,YEM,2006,,,8.00743,61.17278,43.33598
Yemen,YEM,2007,,,9.04864,,
Yemen,YEM,2008,77.91959,37.9779,9.2086,,
Yemen,YEM,2009,,,9.69779,,
Yemen,YEM,2010,77.85576,39.06623,9.26154,,
Yemen,YEM,2011,80.80948,40.66953,8.8069,,
Yemen,YEM,2012,79.96325,40.97475,,,
Yemen,YEM,2013,82.07309,42.70846,,62.33444,46.49128
Yemen,YEM,2016,76.97538,43.69069,,,
Yemen,YEM,2023,,,,68.13316,52.8291