Entity,Code,Year,Under-fifteen mortality rate
Yemen,YEM,1968,39.55999
Yemen,YEM,1969,38.164173
Yemen,YEM,1970,36.747467
Yemen,YEM,1971,35.387615
Yemen,YEM,1972,34.07517
Yemen,YEM,1973,32.821976
Yemen,YEM,1974,31.58173
Yemen,YEM,1975,30.299105
Yemen,YEM,1976,28.98165
Yemen,YEM,1977,27.60229
Yemen,YEM,1978,26.207293
Yemen,YEM,1979,24.811419
Yemen,YEM,1980,23.418365
Yemen,YEM,1981,22.083199
Yemen,YEM,1982,20.78886
Yemen,YEM,1983,19.563871
Yemen,YEM,1984,18.463793
Yemen,YEM,1985,17.515217
Yemen,YEM,1986,16.693295
Yemen,YEM,1987,15.976734
Yemen,YEM,1988,15.340335
Yemen,YEM,1989,14.785699
Yemen,YEM,1990,14.031886
Yemen,YEM,1991,13.61866
Yemen,YEM,1992,13.253037
Yemen,YEM,1993,12.926659
Yemen,YEM,1994,12.629522
Yemen,YEM,1995,12.345993
Yemen,YEM,1996,12.055498
Yemen,YEM,1997,11.733862
Yemen,YEM,1998,11.339164
Yemen,YEM,1999,10.893375
Yemen,YEM,2000,10.4009695
Yemen,YEM,2001,9.8863945
Yemen,YEM,2002,9.372936
Yemen,YEM,2003,8.88293
Yemen,YEM,2004,8.418609
Yemen,YEM,2005,7.9809413
Yemen,YEM,2006,7.5721617
Yemen,YEM,2007,7.2000775
Yemen,YEM,2008,6.86519
Yemen,YEM,2009,6.5706487
Yemen,YEM,2010,6.309112
Yemen,YEM,2011,6.108056
Yemen,YEM,2012,5.952421
Yemen,YEM,2013,5.7345114
Yemen,YEM,2014,5.637423
Yemen,YEM,2015,5.7817283
Yemen,YEM,2016,5.6395984
Yemen,YEM,2017,5.5179963
Yemen,YEM,2018,5.6190405
Yemen,YEM,2019,5.521344
Yemen,YEM,2020,5.165827
Yemen,YEM,2021,5.09844
Yemen,YEM,2022,4.915931
Yemen,YEM,2023,4.7259436